song,artist,emotion,category,language,youtube
Hindi Song 21,Arijit Singh,happy,qawwali,Hindi,https://www.youtube.com/results?search_query=Hindi+Song+21+Arijit+Singh
Hindi Song 22,Jubin Nautiyal,sad,romantic,Hindi,https://www.youtube.com/results?search_query=Hindi+Song+22+Jubin+Nautiyal
Hindi Song 23,Neha Kakkar,calm,motivational,Hindi,https://www.youtube.com/results?search_query=Hindi+Song+23+Neha+Kakkar
Hindi Song 24,A.R. Rahman,angry,sad,Hindi,https://www.youtube.com/results?search_query=Hindi+Song+24+A.R.+Rahman
Hindi Song 25,Atif Aslam,neutral,party,Hindi,https://www.youtube.com/results?search_query=Hindi+Song+25+Atif+Aslam
Hindi Song 26,Arijit Singh,happy,heartbroken,Hindi,https://www.youtube.com/results?search_query=Hindi+Song+26+Arijit+Singh
Hindi Song 27,Jubin Nautiyal,sad,travel,Hindi,https://www.youtube.com/results?search_query=Hindi+Song+27+Jubin+Nautiyal
Hindi Song 28,Neha Kakkar,calm,friendship,Hindi,https://www.youtube.com/results?search_query=Hindi+Song+28+Neha+Kakkar
Hindi Song 29,A.R. Rahman,angry,qawwali,Hindi,https://www.youtube.com/results?search_query=Hindi+Song+29+A.R.+Rahman
Hindi Song 30,Atif Aslam,neutral,romantic,Hindi,https://www.youtube.com/results?search_query=Hindi+Song+30+Atif+Aslam
Hindi Song 31,Arijit Singh,happy,motivational,Hindi,https://www.youtube.com/results?search_query=Hindi+Song+31+Arijit+Singh
Hindi Song 32,Jubin Nautiyal,sad,sad,Hindi,https://www.youtube.com/results?search_query=Hindi+Song+32+Jubin+Nautiyal
Hindi Song 33,Neha Kakkar,calm,party,Hindi,https://www.youtube.com/results?search_query=Hindi+Song+33+Neha+Kakkar
Hindi Song 34,A.R. Rahman,angry,heartbroken,Hindi,https://www.youtube.com/results?search_query=Hindi+Song+34+A.R.+Rahman
Hindi Song 35,Atif Aslam,neutral,travel,Hindi,https://www.youtube.com/results?search_query=Hindi+Song+35+Atif+Aslam
Hindi Song 36,Arijit Singh,happy,friendship,Hindi,https://www.youtube.com/results?search_query=Hindi+Song+36+Arijit+Singh
Hindi Song 37,Jubin Nautiyal,sad,qawwali,Hindi,https://www.youtube.com/results?search_query=Hindi+Song+37+Jubin+Nautiyal
Hindi Song 38,Neha Kakkar,calm,romantic,Hindi,https://www.youtube.com/results?search_query=Hindi+Song+38+Neha+Kakkar
Hindi Song 39,A.R. Rahman,angry,motivational,Hindi,https://www.youtube.com/results?search_query=Hindi+Song+39+A.R.+Rahman
Hindi Song 40,Atif Aslam,neutral,sad,Hindi,https://www.youtube.com/results?search_query=Hindi+Song+40+Atif+Aslam
Hindi Song 41,Arijit Singh,happy,party,Hindi,https://www.youtube.com/results?search_query=Hindi+Song+41+Arijit+Singh
Hindi Song 42,Jubin Nautiyal,sad,heartbroken,Hindi,https://www.youtube.com/results?search_query=Hindi+Song+42+Jubin+Nautiyal
Hindi Song 43,Neha Kakkar,calm,travel,Hindi,https://www.youtube.com/results?search_query=Hindi+Song+43+Neha+Kakkar
Hindi Song 44,A.R. Rahman,angry,friendship,Hindi,https://www.youtube.com/results?search_query=Hindi+Song+44+A.R.+Rahman
Hindi Song 45,Atif Aslam,neutral,qawwali,Hindi,https://www.youtube.com/results?search_query=Hindi+Song+45+Atif+Aslam
Hindi Song 46,Arijit Singh,happy,romantic,Hindi,https://www.youtube.com/results?search_query=Hindi+Song+46+Arijit+Singh
Hindi Song 47,Jubin Nautiyal,sad,motivational,Hindi,https://www.youtube.com/results?search_query=Hindi+Song+47+Jubin+Nautiyal
Hindi Song 48,Neha Kakkar,calm,sad,Hindi,https://www.youtube.com/results?search_query=Hindi+Song+48+Neha+Kakkar
Hindi Song 49,A.R. Rahman,angry,party,Hindi,https://www.youtube.com/results?search_query=Hindi+Song+49+A.R.+Rahman
Hindi Song 50,Atif Aslam,neutral,heartbroken,Hindi,https://www.youtube.com/results?search_query=Hindi+Song+50+Atif+Aslam
Punjabi Song 1,AP Dhillon,happy,party,Punjabi,https://www.youtube.com/results?search_query=Punjabi+Song+1+AP+Dhillon
Punjabi Song 2,Diljit Dosanjh,sad,heartbroken,Punjabi,https://www.youtube.com/results?search_query=Punjabi+Song+2+Diljit+Dosanjh
Punjabi Song 3,Sidhu Moosewala,calm,travel,Punjabi,https://www.youtube.com/results?search_query=Punjabi+Song+3+Sidhu+Moosewala
Punjabi Song 4,Karan Aujla,angry,friendship,Punjabi,https://www.youtube.com/results?search_query=Punjabi+Song+4+Karan+Aujla
Punjabi Song 5,AP Dhillon,neutral,qawwali,Punjabi,https://www.youtube.com/results?search_query=Punjabi+Song+5+AP+Dhillon
Punjabi Song 6,Diljit Dosanjh,happy,romantic,Punjabi,https://www.youtube.com/results?search_query=Punjabi+Song+6+Diljit+Dosanjh
Punjabi Song 7,Sidhu Moosewala,sad,motivational,Punjabi,https://www.youtube.com/results?search_query=Punjabi+Song+7+Sidhu+Moosewala
Punjabi Song 8,Karan Aujla,calm,sad,Punjabi,https://www.youtube.com/results?search_query=Punjabi+Song+8+Karan+Aujla
Punjabi Song 9,AP Dhillon,angry,party,Punjabi,https://www.youtube.com/results?search_query=Punjabi+Song+9+AP+Dhillon
Punjabi Song 10,Diljit Dosanjh,neutral,heartbroken,Punjabi,https://www.youtube.com/results?search_query=Punjabi+Song+10+Diljit+Dosanjh
Punjabi Song 11,Sidhu Moosewala,happy,travel,Punjabi,https://www.youtube.com/results?search_query=Punjabi+Song+11+Sidhu+Moosewala
Punjabi Song 12,Karan Aujla,sad,friendship,Punjabi,https://www.youtube.com/results?search_query=Punjabi+Song+12+Karan+Aujla
Punjabi Song 13,AP Dhillon,calm,qawwali,Punjabi,https://www.youtube.com/results?search_query=Punjabi+Song+13+AP+Dhillon
Punjabi Song 14,Diljit Dosanjh,angry,romantic,Punjabi,https://www.youtube.com/results?search_query=Punjabi+Song+14+Diljit+Dosanjh
Punjabi Song 15,Sidhu Moosewala,neutral,motivational,Punjabi,https://www.youtube.com/results?search_query=Punjabi+Song+15+Sidhu+Moosewala
Punjabi Song 16,Karan Aujla,happy,sad,Punjabi,https://www.youtube.com/results?search_query=Punjabi+Song+16+Karan+Aujla
Punjabi Song 17,AP Dhillon,sad,party,Punjabi,https://www.youtube.com/results?search_query=Punjabi+Song+17+AP+Dhillon
Punjabi Song 18,Diljit Dosanjh,calm,heartbroken,Punjabi,https://www.youtube.com/results?search_query=Punjabi+Song+18+Diljit+Dosanjh
Punjabi Song 19,Sidhu Moosewala,angry,travel,Punjabi,https://www.youtube.com/results?search_query=Punjabi+Song+19+Sidhu+Moosewala
Punjabi Song 20,Karan Aujla,neutral,friendship,Punjabi,https://www.youtube.com/results?search_query=Punjabi+Song+20+Karan+Aujla
Punjabi Song 21,AP Dhillon,happy,qawwali,Punjabi,https://www.youtube.com/results?search_query=Punjabi+Song+21+AP+Dhillon
Punjabi Song 22,Diljit Dosanjh,sad,romantic,Punjabi,https://www.youtube.com/results?search_query=Punjabi+Song+22+Diljit+Dosanjh
Punjabi Song 23,Sidhu Moosewala,calm,motivational,Punjabi,https://www.youtube.com/results?search_query=Punjabi+Song+23+Sidhu+Moosewala
Punjabi Song 24,Karan Aujla,angry,sad,Punjabi,https://www.youtube.com/results?search_query=Punjabi+Song+24+Karan+Aujla
Punjabi Song 25,AP Dhillon,neutral,party,Punjabi,https://www.youtube.com/results?search_query=Punjabi+Song+25+AP+Dhillon
Punjabi Song 26,Diljit Dosanjh,happy,heartbroken,Punjabi,https://www.youtube.com/results?search_query=Punjabi+Song+26+Diljit+Dosanjh
Punjabi Song 27,Sidhu Moosewala,sad,travel,Punjabi,https://www.youtube.com/results?search_query=Punjabi+Song+27+Sidhu+Moosewala
Punjabi Song 28,Karan Aujla,calm,friendship,Punjabi,https://www.youtube.com/results?search_query=Punjabi+Song+28+Karan+Aujla
Punjabi Song 29,AP Dhillon,angry,qawwali,Punjabi,https://www.youtube.com/results?search_query=Punjabi+Song+29+AP+Dhillon
Punjabi Song 30,Diljit Dosanjh,neutral,romantic,Punjabi,https://www.youtube.com/results?search_query=Punjabi+Song+30+Diljit+Dosanjh
English Song 1,Ed Sheeran,happy,party,English,https://www.youtube.com/results?search_query=English+Song+1+Ed+Sheeran
English Song 2,Imagine Dragons,sad,heartbroken,English,https://www.youtube.com/results?search_query=English+Song+2+Imagine+Dragons
English Song 3,Adele,calm,travel,English,https://www.youtube.com/results?search_query=English+Song+3+Adele
English Song 4,Taylor Swift,angry,friendship,English,https://www.youtube.com/results?search_query=English+Song+4+Taylor+Swift
English Song 5,Ed Sheeran,neutral,qawwali,English,https://www.youtube.com/results?search_query=English+Song+5+Ed+Sheeran
English Song 6,Imagine Dragons,happy,romantic,English,https://www.youtube.com/results?search_query=English+Song+6+Imagine+Dragons
English Song 7,Adele,sad,motivational,English,https://www.youtube.com/results?search_query=English+Song+7+Adele
English Song 8,Taylor Swift,calm,sad,English,https://www.youtube.com/results?search_query=English+Song+8+Taylor+Swift
English Song 9,Ed Sheeran,angry,party,English,https://www.youtube.com/results?search_query=English+Song+9+Ed+Sheeran
English Song 10,Imagine Dragons,neutral,heartbroken,English,https://www.youtube.com/results?search_query=English+Song+10+Imagine+Dragons
English Song 11,Adele,happy,travel,English,https://www.youtube.com/results?search_query=English+Song+11+Adele
English Song 12,Taylor Swift,sad,friendship,English,https://www.youtube.com/results?search_query=English+Song+12+Taylor+Swift
English Song 13,Ed Sheeran,calm,qawwali,English,https://www.youtube.com/results?search_query=English+Song+13+Ed+Sheeran
English Song 14,Imagine Dragons,angry,romantic,English,https://www.youtube.com/results?search_query=English+Song+14+Imagine+Dragons
English Song 15,Adele,neutral,motivational,English,https://www.youtube.com/results?search_query=English+Song+15+Adele
English Song 16,Taylor Swift,happy,sad,English,https://www.youtube.com/results?search_query=English+Song+16+Taylor+Swift
English Song 17,Ed Sheeran,sad,party,English,https://www.youtube.com/results?search_query=English+Song+17+Ed+Sheeran
English Song 18,Imagine Dragons,calm,heartbroken,English,https://www.youtube.com/results?search_query=English+Song+18+Imagine+Dragons
English Song 19,Adele,angry,travel,English,https://www.youtube.com/results?search_query=English+Song+19+Adele
English Song 20,Taylor Swift,neutral,friendship,English,https://www.youtube.com/results?search_query=English+Song+20+Taylor+Swift
